,Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange,
Mardu Reanimator,16% - 57%,1% - 91%,--,--,0% - 98%,12% - 88%,0% - 98%,--,0% - 98%,0% - 98%,--,1% - 99%,0% - 98%,2% - 100%,--,0% - 98%,0% - 98%,2% - 100%,0% - 98%,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,41
,35%,33%,,,0%,50%,0%,,0%,0%,,50%,0%,100%,,0%,0%,100%,0%,,,,,100%,,,,,,,,,,35
,23 matches,3 matches,,,1 matches,6 matches,1 matches,,1 matches,1 matches,,2 matches,1 matches,1 matches,,1 matches,1 matches,1 matches,1 matches,,,,,1 matches,,,,,,,,,,23
Golgari Demons,20% - 61%,7% - 93%,1% - 99%,1% - 99%,5% - 85%,--,0% - 98%,1% - 99%,--,1% - 99%,--,2% - 100%,0% - 84%,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41
,39%,50%,50%,50%,40%,,0%,50%,,50%,,100%,0%,,,,,,0%,,,,,,,,,,,,,,,39
,23 matches,4 matches,2 matches,2 matches,5 matches,,1 matches,2 matches,,2 matches,,1 matches,2 matches,,,,,,1 matches,,,,,,,,,,,,,,,23
Soulflayer Time,20% - 67%,5% - 85%,0% - 98%,1% - 91%,--,--,--,2% - 100%,--,1% - 99%,--,--,2% - 100%,--,--,0% - 98%,--,0% - 98%,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,47
,42%,40%,0%,33%,,,,100%,,50%,,,100%,,,0%,,0%,,,,,,,,,100%,,,,,,,42
,19 matches,5 matches,1 matches,3 matches,,,,1 matches,,2 matches,,,1 matches,,,1 matches,,1 matches,,,,,,,,,1 matches,,,,,,,19
Acererak Combo,16% - 62%,0% - 60%,2% - 100%,2% - 100%,2% - 100%,0% - 84%,2% - 100%,--,0% - 98%,--,1% - 99%,--,--,0% - 98%,--,--,--,--,--,--,--,2% - 100%,--,2% - 100%,--,--,--,--,--,0% - 98%,--,--,--,46
,37%,0%,100%,100%,100%,0%,100%,,0%,,50%,,,0%,,,,,,,,100%,,100%,,,,,,0%,,,,37
,19 matches,4 matches,1 matches,1 matches,1 matches,2 matches,1 matches,,1 matches,,2 matches,,,1 matches,,,,,,,,1 matches,,1 matches,,,,,,1 matches,,,,19
Selesnya Enchantments,7% - 50%,1% - 99%,0% - 71%,0% - 98%,1% - 99%,1% - 99%,0% - 98%,--,0% - 98%,0% - 98%,--,0% - 98%,0% - 98%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,43
,24%,50%,0%,0%,50%,50%,0%,,0%,0%,,0%,0%,100%,,,,,,,,,,,,,,,,,,,0%,24
,17 matches,2 matches,3 matches,1 matches,2 matches,2 matches,1 matches,,1 matches,1 matches,,1 matches,1 matches,1 matches,,,,,,,,,,,,,,,,,,,1 matches,17
Metalwork Colossus,23% - 72%,2% - 100%,0% - 98%,7% - 93%,2% - 100%,2% - 100%,--,0% - 98%,--,0% - 84%,--,--,--,--,--,--,--,--,--,--,1% - 99%,--,--,--,0% - 98%,--,--,--,--,--,--,--,2% - 100%,49
,47%,100%,0%,50%,100%,100%,,0%,,0%,,,,,,,,,,,50%,,,,0%,,,,,,,,100%,47
,17 matches,1 matches,1 matches,4 matches,1 matches,1 matches,,1 matches,,2 matches,,,,,,,,,,,2 matches,,,,1 matches,,,,,,,,1 matches,17
Mono White Tokens,15% - 65%,1% - 81%,1% - 72%,--,2% - 100%,--,2% - 100%,0% - 98%,--,--,2% - 100%,2% - 100%,0% - 98%,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50
,38%,25%,20%,,100%,,100%,0%,,,100%,100%,0%,,,0%,,,,,,,,,,,,,,,,,,38
,16 matches,4 matches,5 matches,,1 matches,,1 matches,1 matches,,,1 matches,1 matches,1 matches,,,1 matches,,,,,,,,,,,,,,,,,,16
Orzhov Aggro,7% - 52%,1% - 72%,0% - 64%,--,--,0% - 98%,2% - 100%,--,--,--,--,2% - 100%,--,0% - 84%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45
,25%,20%,17%,,,0%,100%,,,,,100%,,0%,,,,,,,,,,,,,,,,,,,,25
,16 matches,5 matches,6 matches,,,1 matches,1 matches,,,,,1 matches,,2 matches,,,,,,,,,,,,,,,,,,,,16
Sultai Rona,30% - 80%,0% - 98%,15% - 95%,--,--,--,0% - 98%,--,2% - 100%,--,2% - 100%,--,--,2% - 100%,2% - 100%,--,--,--,--,--,0% - 98%,--,--,--,--,0% - 84%,--,--,--,--,--,--,--,50
,56%,0%,60%,,,,0%,,100%,,100%,,,100%,100%,,,,,,0%,,,,,0%,,,,,,,,56
,16 matches,1 matches,5 matches,,,,1 matches,,1 matches,,1 matches,,,1 matches,1 matches,,,,,,1 matches,,,,,2 matches,,,,,,,,16
Sultai Scapeshift,25% - 75%,1% - 99%,7% - 93%,--,--,16% - 100%,2% - 100%,--,--,0% - 98%,1% - 99%,--,--,--,0% - 98%,--,--,2% - 100%,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,50
,50%,50%,50%,,,100%,100%,,,0%,50%,,,,0%,,,100%,,0%,,,,,,,,,,,,,,50
,16 matches,2 matches,4 matches,,,2 matches,1 matches,,,1 matches,2 matches,,,,1 matches,,,1 matches,,1 matches,,,,,,,,,,,,,,16
Simic Lands,35% - 85%,1% - 99%,1% - 91%,2% - 100%,0% - 98%,2% - 100%,2% - 100%,--,--,2% - 100%,--,--,16% - 100%,--,--,--,--,--,--,--,0% - 98%,--,0% - 98%,--,2% - 100%,--,2% - 100%,--,--,--,--,--,--,50
,63%,50%,33%,100%,0%,100%,100%,,,100%,,,100%,,,,,,,,0%,,0%,,100%,,100%,,,,,,,63
,16 matches,2 matches,3 matches,1 matches,1 matches,1 matches,1 matches,,,1 matches,,,2 matches,,,,,,,,1 matches,,1 matches,,1 matches,,1 matches,,,,,,,16
Gruul Aggro,12% - 62%,2% - 100%,0% - 71%,--,0% - 98%,--,--,--,--,--,0% - 84%,--,--,0% - 98%,--,2% - 100%,--,--,1% - 99%,--,2% - 100%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,50
,33%,100%,0%,,0%,,,,,,0%,,,0%,,100%,,,50%,,100%,0%,,,,,,,,,,,,33
,15 matches,1 matches,3 matches,,1 matches,,,,,,2 matches,,,1 matches,,1 matches,,,2 matches,,1 matches,1 matches,,,,,,,,,,,,15
Dimir Proft,16% - 68%,1% - 81%,0% - 98%,--,7% - 93%,--,2% - 100%,0% - 98%,--,--,0% - 98%,2% - 100%,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52
,40%,25%,0%,,50%,,100%,0%,,,0%,100%,,,,,,,100%,,,,,,,,,,,,,,,40
,15 matches,4 matches,1 matches,,4 matches,,1 matches,1 matches,,,1 matches,1 matches,,,,,,,1 matches,,,,,,,,,,,,,,,15
Esper Reanimator,12% - 62%,15% - 95%,0% - 98%,0% - 84%,--,0% - 84%,--,--,--,0% - 98%,--,--,0% - 98%,--,--,0% - 98%,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,50
,33%,60%,0%,0%,,0%,,,,0%,,,0%,,,0%,,,,,100%,,,,,,,,,,,,100%,33
,15 matches,5 matches,1 matches,2 matches,,2 matches,,,,1 matches,,,1 matches,,,1 matches,,,,,1 matches,,,,,,,,,,,,1 matches,15
Ensoul Artifacts,18% - 71%,2% - 100%,1% - 91%,--,0% - 84%,1% - 99%,--,--,--,--,2% - 100%,2% - 100%,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53
,43%,100%,33%,,0%,50%,,,,,100%,100%,,,,,0%,,,,,,,,,,,,,,,,,43
,14 matches,1 matches,3 matches,,2 matches,2 matches,,,,,1 matches,1 matches,,,,,1 matches,,,,,,,,,,,,,,,,,14
Grixis Phoenix,13% - 65%,0% - 84%,1% - 99%,--,1% - 99%,0% - 98%,0% - 84%,--,2% - 100%,--,--,0% - 98%,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,52
,36%,0%,50%,,50%,0%,0%,,100%,,,0%,,100%,,,,,,,,,,,,,,,,,,100%,,36
,14 matches,2 matches,2 matches,,2 matches,1 matches,2 matches,,1 matches,,,1 matches,,1 matches,,,,,,,,,,,,,,,,,,1 matches,,14
Jund Transmogrify,18% - 71%,--,--,0% - 84%,16% - 100%,--,--,--,1% - 99%,--,--,--,2% - 100%,2% - 100%,0% - 98%,0% - 98%,--,--,0% - 98%,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,53
,43%,,,0%,100%,,,,50%,,,,100%,100%,0%,0%,,,0%,50%,,,,,,,,,,,,,,43
,14 matches,,,2 matches,2 matches,,,,2 matches,,,,1 matches,1 matches,1 matches,1 matches,,,1 matches,2 matches,,,,,,,,,,,,,,14
Naya Midrange,29% - 82%,29% - 100%,2% - 100%,0% - 71%,--,--,--,0% - 98%,--,2% - 100%,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,2% - 100%,0% - 98%,--,--,--,--,--,--,--,--,--,53
,57%,100%,100%,0%,,,,0%,,100%,,,,,,0%,,,,,,,100%,0%,,,,,,,,,,57
,14 matches,3 matches,1 matches,3 matches,,,,1 matches,,1 matches,,,,,,1 matches,,,,,,,1 matches,1 matches,,,,,,,,,,14
Izzet Prowess,42% - 92%,1% - 99%,2% - 100%,0% - 98%,16% - 100%,--,--,2% - 100%,2% - 100%,--,--,--,--,2% - 100%,--,--,0% - 98%,--,--,--,--,--,--,--,2% - 100%,--,--,--,0% - 98%,--,--,--,--,50
,71%,50%,100%,0%,100%,,,100%,100%,,,,,100%,,,0%,,,,,,,,100%,,,,0%,,,,,71
,14 matches,2 matches,1 matches,1 matches,2 matches,,,1 matches,1 matches,,,,,1 matches,,,1 matches,,,,,,,,1 matches,,,,1 matches,,,,,14
Elves,19% - 75%,2% - 100%,1% - 91%,--,1% - 99%,--,--,--,16% - 100%,--,0% - 98%,--,--,--,0% - 84%,--,--,--,--,--,--,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,56
,46%,100%,33%,,50%,,,,100%,,0%,,,,0%,,,,,,,50%,,,,,,,,,,,,46
,13 matches,1 matches,3 matches,,2 matches,,,,2 matches,,1 matches,,,,2 matches,,,,,,,2 matches,,,,,,,,,,,,13
Azorius Mentor,9% - 61%,1% - 99%,1% - 81%,--,--,0% - 98%,--,0% - 84%,--,--,--,--,--,--,--,--,--,0% - 98%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,52
,31%,50%,25%,,,0%,,0%,,,,,,,,,,0%,0%,,,,,,,,,,,,,100%,,31
,13 matches,2 matches,4 matches,,,1 matches,,2 matches,,,,,,,,,,1 matches,1 matches,,,,,,,,,,,,,1 matches,,13
Temur Company,28% - 85%,2% - 100%,2% - 100%,2% - 100%,0% - 98%,1% - 99%,--,0% - 98%,--,--,0% - 98%,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,2% - 100%,--,2% - 100%,--,--,--,57
,58%,100%,100%,100%,0%,50%,,0%,,,0%,,,,,,,,,0%,,,,,,,,100%,,100%,,,,58
,12 matches,1 matches,1 matches,1 matches,1 matches,2 matches,,1 matches,,,1 matches,,,,,,,,,1 matches,,,,,,,,1 matches,,1 matches,,,,12
Gruul Vehicles,5% - 57%,1% - 99%,0% - 98%,0% - 60%,--,0% - 98%,--,--,--,0% - 98%,--,2% - 100%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,52
,25%,50%,0%,0%,,0%,,,,0%,,100%,100%,,,,,,,,,,,,,,,,,,,,0%,25
,12 matches,2 matches,1 matches,4 matches,,1 matches,,,,1 matches,,1 matches,1 matches,,,,,,,,,,,,,,,,,,,,1 matches,12
Dimir Midrange,23% - 83%,0% - 98%,2% - 100%,--,0% - 98%,0% - 98%,0% - 98%,2% - 100%,2% - 100%,--,--,--,--,--,2% - 100%,--,1% - 99%,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,60
,55%,0%,100%,,0%,0%,0%,100%,100%,,,,,,100%,,50%,,,,,,,100%,,,,,,,,,,55
,11 matches,1 matches,1 matches,,1 matches,1 matches,1 matches,1 matches,1 matches,,,,,,1 matches,,2 matches,,,,,,,1 matches,,,,,,,,,,11
Hardened Scales,6% - 61%,1% - 99%,--,2% - 100%,2% - 100%,--,0% - 98%,--,--,0% - 98%,--,0% - 98%,0% - 98%,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,55
,27%,50%,,100%,100%,,0%,,,0%,,0%,0%,,,0%,,,,,,,,,,,,,,,,,,27
,11 matches,2 matches,,1 matches,1 matches,,1 matches,,,1 matches,,1 matches,1 matches,,,1 matches,,,,,,,,,,,,,,,,,,11
Bring to Light,11% - 69%,2% - 100%,0% - 98%,2% - 100%,0% - 98%,0% - 84%,1% - 99%,--,--,0% - 98%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,58
,36%,100%,0%,100%,0%,0%,50%,,,0%,100%,,,,,,,,,,,,,0%,,,,,,,,,,36
,11 matches,1 matches,1 matches,1 matches,1 matches,2 matches,2 matches,,,1 matches,1 matches,,,,,,,,,,,,,1 matches,,,,,,,,,,11
Neoform,23% - 83%,2% - 100%,2% - 100%,--,--,--,0% - 98%,--,--,1% - 99%,--,--,1% - 99%,--,2% - 100%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60
,55%,100%,100%,,,,0%,,,50%,,,50%,,100%,0%,,,,,,,,,,,,,,,,,,55
,11 matches,1 matches,1 matches,,,,1 matches,,,2 matches,,,2 matches,,1 matches,1 matches,,,,,,,,,,,,,,,,,,11
Jund Citadel,26% - 88%,0% - 84%,2% - 100%,2% - 100%,--,2% - 100%,1% - 99%,2% - 100%,--,--,--,--,2% - 100%,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62
,60%,0%,100%,100%,,100%,50%,100%,,,,,100%,,,0%,,,,,,,,,,,,,,,,,,60
,10 matches,2 matches,1 matches,1 matches,,1 matches,2 matches,1 matches,,,,,1 matches,,,1 matches,,,,,,,,,,,,,,,,,,10
Jund Landfall,19% - 81%,0% - 84%,--,--,--,2% - 100%,--,1% - 99%,2% - 100%,--,--,2% - 100%,--,0% - 98%,--,--,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62
,50%,0%,,,,100%,,50%,100%,,,100%,,0%,,,50%,,,,,,,,,,,,,,,,,50
,10 matches,2 matches,,,,1 matches,,2 matches,1 matches,,,1 matches,,1 matches,,,2 matches,,,,,,,,,,,,,,,,,10
Aclazotz Slasher Combo,26% - 88%,--,9% - 99%,--,--,--,0% - 98%,0% - 98%,--,--,--,2% - 100%,--,0% - 98%,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,2% - 100%,--,--,--,--,62
,60%,,67%,,,,0%,0%,,,,100%,,0%,,,,,,,,100%,,,,,,,100%,,,,,60
,10 matches,,3 matches,,,,1 matches,1 matches,,,,1 matches,,1 matches,,,,,,,,1 matches,,,,,,,1 matches,,,,,10
Orzhov Superfriends,7% - 70%,16% - 100%,0% - 98%,--,0% - 84%,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,63
,33%,100%,0%,,0%,,,,,,,,,100%,,,,,,,,,,,,,,,,,,0%,,33
,9 matches,2 matches,1 matches,,2 matches,,,,,,,,,1 matches,,,,,,,,,,,,,,,,,,1 matches,,9
Azorius Flash,21% - 86%,2% - 100%,16% - 100%,--,--,0% - 98%,0% - 98%,--,0% - 98%,--,--,--,--,--,--,--,2% - 100%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65
,56%,100%,100%,,,0%,0%,,0%,,,,,,,,100%,0%,,,,,,,,,,,,,,,,56
,9 matches,1 matches,2 matches,,,1 matches,1 matches,,1 matches,,,,,,,,1 matches,1 matches,,,,,,,,,,,,,,,,9
Selesnya Blink,16% - 84%,2% - 100%,--,--,0% - 98%,1% - 99%,2% - 100%,--,0% - 98%,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68
,50%,100%,,,0%,50%,100%,,0%,,,,,0%,,,,,,,,,,,,,,,,,,,,50
,8 matches,1 matches,,,1 matches,2 matches,1 matches,,1 matches,,,,,1 matches,,,,,,,,,,,,,,,,,,,,8
Azorius Tempo,18% - 90%,--,--,--,2% - 100%,2% - 100%,--,--,0% - 98%,--,--,1% - 99%,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72
,57%,,,,100%,100%,,,0%,,,50%,,,,,,0%,,,,,,,,,,,,,,,,57
,7 matches,,,,1 matches,1 matches,,,1 matches,,,2 matches,,,,,,1 matches,,,,,,,,,,,,,,,,7
Rakdos Sacrifice,10% - 82%,--,--,1% - 99%,--,0% - 98%,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,0% - 98%,--,--,--,--,--,--,72
,43%,,,50%,,0%,,,0%,,,,,,,,,,,,,100%,,,,,0%,,,,,,,43
,7 matches,,,2 matches,,1 matches,,,1 matches,,,,,,,,,,,,,1 matches,,,,,1 matches,,,,,,,7
Gruul Bard Class,10% - 82%,--,--,--,--,--,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,72
,43%,,,,,,50%,,,,,,,,,,,,,100%,,0%,,,,,,,,,,,,43
,7 matches,,,,,,2 matches,,,,,,,,,,,,,1 matches,,1 matches,,,,,,,,,,,,7
Mardu Doom,18% - 90%,--,0% - 98%,--,16% - 100%,16% - 100%,--,--,0% - 98%,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72
,57%,,0%,,100%,100%,,,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,57
,7 matches,,1 matches,,2 matches,2 matches,,,1 matches,,1 matches,,,,,,,,,,,,,,,,,,,,,,,7
Mill,0% - 58%,0% - 98%,--,--,0% - 98%,0% - 84%,0% - 98%,2% - 100%,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58
,14%,0%,,,0%,0%,0%,100%,,0%,,,,,,,,,,,,,,,,,,,,,,,,14
,7 matches,1 matches,,,1 matches,2 matches,1 matches,1 matches,,1 matches,,,,,,,,,,,,,,,,,,,,,,,,7
Mardu Transmogrify,4% - 71%,--,0% - 98%,--,--,1% - 99%,--,0% - 84%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67
,29%,,0%,,,50%,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,29
,7 matches,,1 matches,,,2 matches,,2 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,7
Dimir Demons,18% - 90%,9% - 99%,--,--,0% - 98%,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,72
,57%,67%,,,0%,,,,,100%,,,,,,,,,,,,,,,0%,,,,,,,,,57
,7 matches,3 matches,,,1 matches,,,,,1 matches,,,,,,,,,,,,,,,1 matches,,,,,,,,,7
Esper Midrange,22% - 96%,0% - 98%,2% - 100%,--,--,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,74
,67%,0%,100%,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
,6 matches,1 matches,1 matches,,,2 matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Storm Herald,12% - 88%,0% - 98%,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,76
,50%,0%,,,,,,,100%,,,,,,,,,,,,,0%,,,,,,,,,,,,50
,6 matches,1 matches,,,,,,,1 matches,,,,,,,,,,,,,1 matches,,,,,,,,,,,,6
5 Color Superfriends,12% - 88%,16% - 100%,--,0% - 84%,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,76
,50%,100%,,0%,,,100%,,,,,,,,,,,,,,,,0%,,,,,,,,,,,50
,6 matches,2 matches,,2 matches,,,1 matches,,,,,,,,,,,,,,,,1 matches,,,,,,,,,,,6
4 Color Omnath,0% - 64%,--,0% - 98%,--,--,--,--,--,2% - 100%,--,0% - 98%,0% - 98%,--,0% - 98%,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64
,17%,,0%,,,,,,100%,,0%,0%,,0%,,,,0%,,,,,,,,,,,,,,,,17
,6 matches,,1 matches,,,,,,1 matches,,1 matches,1 matches,,1 matches,,,,1 matches,,,,,,,,,,,,,,,,6
Boros Vehicles,4% - 78%,--,0% - 98%,--,0% - 98%,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,74
,33%,,0%,,0%,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,33
,6 matches,,1 matches,,1 matches,,,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,,6
Golgari Citadel,12% - 88%,--,2% - 100%,0% - 98%,--,2% - 100%,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,--,--,76
,50%,,100%,0%,,100%,,,,,,,,,,0%,,,,,,,,,,100%,,,,,,,,50
,6 matches,,1 matches,1 matches,,1 matches,,,,,,,,,,1 matches,,,,,,,,,,1 matches,,,,,,,,6
Grinning Ignus Combo,12% - 88%,--,--,--,--,--,--,--,2% - 100%,--,--,1% - 99%,--,--,--,--,--,2% - 100%,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,76
,50%,,,,,,,,100%,,,50%,,,,,,100%,,,,0%,,,,,,,,,,,,50
,6 matches,,,,,,,,1 matches,,,2 matches,,,,,,1 matches,,,,1 matches,,,,,,,,,,,,6
Bant Humans,22% - 96%,2% - 100%,2% - 100%,--,--,1% - 99%,--,0% - 98%,--,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,74
,67%,100%,100%,,,50%,,0%,,,100%,,,,,,,,,,,,,,,,,,,,,,,67
,6 matches,1 matches,1 matches,,,2 matches,,1 matches,,,1 matches,,,,,,,,,,,,,,,,,,,,,,,6
Mono Blue Jewel,12% - 88%,2% - 100%,--,1% - 99%,0% - 98%,--,--,--,2% - 100%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,76
,50%,100%,,50%,0%,,,,100%,0%,,,,,,,,,,,,,,,,,,,,,,,,50
,6 matches,1 matches,,2 matches,1 matches,,,,1 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,,,6
Dredgeless Dredge,5% - 85%,2% - 100%,1% - 99%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,80
,40%,100%,50%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,40
,5 matches,1 matches,2 matches,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 matches,,5
Simic Company,15% - 95%,1% - 99%,--,--,--,--,--,2% - 100%,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
,60%,50%,,,,,,100%,50%,,,,,,,,,,,,,,,,,,,,,,,,,60
,5 matches,2 matches,,,,,,1 matches,2 matches,,,,,,,,,,,,,,,,,,,,,,,,,5
Gruul Company,5% - 85%,0% - 98%,1% - 99%,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
,40%,0%,50%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,40
,5 matches,1 matches,2 matches,,,,1 matches,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Boros Tokens,5% - 85%,9% - 99%,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,--,80
,40%,67%,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,0%,,,40
,5 matches,3 matches,,,,,,,,,1 matches,,,,,,,,,,,,,,,,,,,,1 matches,,,5
4 Color Greasefang,1% - 72%,0% - 98%,0% - 98%,--,--,0% - 98%,--,--,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71
,20%,0%,0%,,,0%,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,20
,5 matches,1 matches,1 matches,,,1 matches,,,2 matches,,,,,,,,,,,,,,,,,,,,,,,,,5
Jeskai Mentor,1% - 72%,--,--,--,0% - 98%,--,0% - 98%,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,71
,20%,,,,0%,,0%,,,,,,,0%,,,,,,,,0%,,,,,,,,,,,,20
,5 matches,,,,1 matches,,1 matches,,,,,,,1 matches,,,,,,,,1 matches,,,,,,,,,,,,5
Thassa's Bargain,5% - 85%,2% - 100%,--,--,--,0% - 98%,--,0% - 98%,2% - 100%,--,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
,40%,100%,,,,0%,,0%,100%,,,,,,,,,0%,,,,,,,,,,,,,,,,40
,5 matches,1 matches,,,,1 matches,,1 matches,1 matches,,,,,,,,,1 matches,,,,,,,,,,,,,,,,5
Azorius Tokens,48% - 100%,--,29% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52
,100%,,100%,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,100
,5 matches,,3 matches,,,,,,,,,,,,,,,2 matches,,,,,,,,,,,,,,,,5
Mardu Virtuoso,15% - 95%,0% - 98%,--,--,--,--,--,0% - 98%,--,--,2% - 100%,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,80
,60%,0%,,,,,,0%,,,100%,100%,,,,,,,,,,,,,,,,,,,100%,,,60
,5 matches,1 matches,,,,,,1 matches,,,1 matches,1 matches,,,,,,,,,,,,,,,,,,,1 matches,,,5
4 Color Zur,15% - 95%,--,2% - 100%,2% - 100%,1% - 99%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80
